MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,6,0,12968,2,3,3,1,1,1,1,20,3,3,1,1,5,6,1962,1962,4,2,7,11,4,0,3,3,2,3,3,4,2,737,6,0,175,912,2,3,2,1,912,0,0,912,1,0,1,0,2,1,3,4,1,0,6,6,1962,3,1,352,3,3,1,140,0,0,0,176,0,5,5,6,0,9,2008,1,1,144000
20,6,91,10652,2,3,2,1,1,1,1,6,3,3,1,1,7,5,2006,2007,2,2,15,15,5,306,2,3,3,2,3,2,6,0,6,0,1494,1494,2,1,2,1,1494,0,0,1494,0,0,2,0,3,1,2,7,1,1,2,2,2006,2,3,840,3,3,1,160,33,0,0,0,0,5,5,6,0,8,2007,4,6,279500
20,6,0,10920,2,3,2,1,1,2,1,13,3,3,1,1,6,5,1960,1960,4,2,9,9,2,212,3,3,2,3,3,4,3,733,6,0,520,1253,2,3,2,1,1253,0,0,1253,1,0,1,1,2,1,3,5,1,1,4,2,1960,2,1,352,3,3,1,0,213,176,0,0,0,5,3,6,0,5,2008,1,1,157000
45,8,51,6120,2,3,1,1,1,2,1,4,3,3,1,3,7,8,1929,2001,2,2,16,16,4,0,3,3,1,3,3,4,6,0,6,0,832,832,2,1,2,2,854,0,0,854,0,0,1,0,2,1,3,5,1,0,6,6,1991,3,2,576,3,3,1,48,112,0,0,0,0,5,1,6,0,7,2007,1,1,132000
20,6,0,11241,2,3,2,1,1,3,1,13,3,3,1,1,6,7,1970,1970,2,2,16,16,2,180,3,3,2,3,3,4,2,578,6,0,426,1004,2,1,2,1,1004,0,0,1004,1,0,1,0,2,1,3,5,1,1,3,2,1970,1,2,480,3,3,1,0,0,0,0,0,0,5,5,4,700,3,2010,1,1,149000
90,6,72,10791,2,3,1,1,1,1,1,20,3,3,3,1,4,5,1967,1967,2,2,9,9,4,0,3,3,4,6,6,5,7,0,7,0,0,0,2,3,2,1,1296,0,0,1296,0,0,2,0,2,2,3,6,1,0,6,5,1967,3,2,516,3,3,1,0,0,0,0,0,0,5,5,4,500,10,2006,1,1,90000
20,6,66,13695,2,3,1,1,1,1,1,21,9,3,1,1,5,5,2004,2004,2,2,15,15,4,0,3,3,3,3,3,4,1,646,6,0,468,1114,2,1,2,1,1114,0,0,1114,1,0,1,1,3,1,2,6,1,0,6,6,2004,3,2,576,3,3,1,0,102,0,0,0,0,5,5,6,0,6,2008,1,1,159000
20,6,70,7560,2,3,1,1,1,1,1,13,3,3,1,1,5,6,1958,1965,4,2,4,11,4,0,3,3,2,3,3,4,5,504,6,0,525,1029,2,3,2,1,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,6,2,1958,3,1,294,3,3,1,0,0,0,0,0,0,5,2,6,0,5,2009,5,2,139000
60,6,101,14215,2,3,2,1,1,2,1,16,3,3,1,4,8,5,2005,2006,2,2,15,15,2,380,2,3,3,1,3,2,6,0,6,0,1158,1158,2,1,2,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,1,1,2,4,2005,2,3,853,3,3,1,240,154,0,0,0,0,5,5,6,0,11,2006,4,6,325300
45,8,57,7449,2,1,1,2,1,1,1,10,3,3,1,3,7,7,1930,1950,2,2,16,16,4,0,3,3,3,3,3,4,6,0,6,0,637,637,2,1,2,3,1108,0,0,1108,0,0,1,0,3,1,2,6,1,1,2,2,1930,3,1,280,3,3,3,0,0,205,0,0,0,5,1,6,0,6,2007,1,1,139400
20,6,75,9742,2,3,1,1,1,1,1,6,3,3,1,1,8,5,2002,2002,4,2,15,15,2,281,2,3,3,2,3,4,6,0,6,0,1777,1777,2,1,2,1,1795,0,0,1795,0,0,2,0,3,1,2,7,1,1,2,2,2002,2,2,534,3,3,1,171,159,0,0,0,0,5,5,6,0,9,2008,1,1,230000
120,8,44,4224,2,3,1,1,1,1,1,11,3,3,4,1,5,7,1976,1976,2,2,6,6,4,0,3,3,3,2,3,4,1,840,6,0,200,1040,2,3,2,1,1060,0,0,1060,1,0,1,0,3,1,3,6,1,1,3,2,1976,3,2,572,3,3,1,100,110,0,0,0,0,5,5,6,0,6,2007,1,1,129900
20,6,0,8246,2,3,2,1,1,1,1,20,3,3,1,1,5,8,1968,2001,2,2,11,11,4,0,3,2,2,3,3,3,4,188,2,668,204,1060,2,1,2,1,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,3,2,1968,3,1,270,3,3,1,406,90,0,0,0,0,5,2,6,0,5,2010,1,1,154000
20,6,110,14230,2,3,1,1,1,2,1,16,3,3,1,1,8,5,2007,2007,2,2,15,15,5,640,2,3,3,2,3,4,6,0,6,0,1566,1566,2,1,2,1,1600,0,0,1600,0,0,2,0,3,1,2,7,1,1,2,2,2007,2,3,890,3,3,1,0,56,0,0,0,0,5,5,6,0,7,2009,1,1,256300
20,6,60,7200,2,3,1,1,1,2,1,13,3,3,1,1,5,7,1951,2000,2,2,16,16,4,0,3,3,2,3,3,3,3,234,4,486,180,900,2,3,2,1,900,0,0,900,0,1,1,0,3,1,2,5,1,0,6,6,2005,3,2,576,3,3,1,222,32,0,0,0,0,5,5,6,0,5,2010,1,1,134800
20,6,98,11478,2,3,1,1,1,1,1,16,3,3,1,1,8,5,2007,2008,2,2,15,15,5,200,2,3,3,1,3,4,1,1218,6,0,486,1704,2,1,2,1,1704,0,0,1704,1,0,2,0,3,1,2,7,1,1,2,2,2008,2,3,772,3,3,1,0,50,0,0,0,0,5,5,6,0,5,2010,1,1,306000
20,6,47,16321,2,3,2,1,1,3,1,13,3,3,1,1,5,6,1957,1997,2,2,9,9,4,0,3,3,2,3,3,1,3,1277,6,0,207,1484,2,3,2,1,1600,0,0,1600,1,0,1,0,2,1,3,6,1,2,2,2,1957,2,1,319,3,3,1,288,258,0,0,0,0,5,5,6,0,12,2006,1,1,207500
30,8,60,6324,2,3,2,1,1,1,1,4,2,4,1,1,4,6,1927,1950,2,2,9,9,4,0,3,3,1,3,3,4,6,0,6,0,520,520,2,4,1,1,520,0,0,520,0,0,1,0,1,1,4,4,1,0,6,6,1920,3,1,240,4,3,1,49,0,87,0,0,0,5,5,6,0,5,2008,1,1,68500
70,2,50,8500,2,2,1,1,1,1,1,10,2,3,1,4,4,4,1920,1950,3,2,4,4,4,0,3,4,1,3,3,4,6,0,6,0,649,649,2,3,1,1,649,668,0,1317,0,0,1,0,3,1,3,6,1,0,6,6,1920,3,1,250,3,4,3,0,54,172,0,0,0,5,2,6,0,7,2008,1,1,40000
20,6,0,8544,2,3,2,1,1,3,1,20,3,3,1,1,5,6,1966,2006,2,2,7,7,4,0,3,3,2,3,3,4,6,0,6,0,1228,1228,2,2,2,1,1228,0,0,1228,0,0,1,1,3,1,2,6,1,0,6,2,1966,3,1,271,3,3,1,0,65,0,0,0,0,5,2,6,0,6,2008,1,1,149350
20,6,85,11049,2,3,1,1,1,2,1,6,3,3,1,1,8,5,2007,2007,2,2,15,15,4,0,2,3,3,1,3,2,6,0,6,0,1234,1234,2,1,2,1,1234,0,0,1234,0,0,2,0,3,1,2,7,1,0,6,2,2007,2,2,484,3,3,1,0,30,0,0,0,0,5,5,6,0,1,2008,1,1,179900
20,6,70,10552,2,3,2,1,1,1,1,13,3,3,1,1,5,5,1959,1959,4,2,4,4,4,0,3,3,2,3,3,4,4,1018,6,0,380,1398,2,2,2,1,1700,0,0,1700,0,1,1,1,4,1,2,6,1,1,2,2,1959,2,2,447,3,3,1,0,38,0,0,0,0,5,5,6,0,4,2010,1,1,165500
120,6,60,7313,2,3,1,1,1,1,1,16,3,3,4,1,9,5,2005,2005,4,2,9,9,2,246,1,3,3,1,3,4,1,1153,6,0,408,1561,2,1,2,1,1561,0,0,1561,1,0,2,0,2,1,1,6,1,1,2,2,2005,1,2,556,3,3,1,203,47,0,0,0,0,5,5,6,0,8,2007,1,1,277500
60,6,108,13418,2,3,1,1,1,1,1,16,3,3,1,4,8,5,2004,2005,2,2,15,15,5,132,2,3,3,1,3,2,6,0,6,0,1117,1117,2,1,2,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,1,1,2,4,2004,1,3,691,3,3,1,113,32,0,0,0,0,5,5,6,0,9,2006,1,1,309000
20,6,112,10859,2,3,1,1,1,2,1,6,3,3,1,1,5,5,1994,1995,2,2,15,15,4,0,3,3,3,2,3,4,6,0,6,0,1097,1097,2,1,2,1,1097,0,0,1097,0,0,1,1,3,1,3,6,1,0,6,2,1995,3,2,672,3,3,1,392,64,0,0,0,0,5,5,6,0,6,2009,1,1,145000
20,6,74,8532,2,3,1,1,1,1,1,13,3,3,1,1,5,6,1954,1990,4,2,16,16,2,650,3,3,2,3,3,4,4,1213,6,0,84,1297,2,2,2,1,1297,0,0,1297,0,1,1,0,3,1,3,5,1,1,3,2,1954,1,2,498,3,3,1,0,0,0,0,0,0,5,5,6,0,10,2009,1,1,153000
20,6,68,7922,2,3,1,1,1,1,1,13,3,3,1,1,5,7,1953,2007,2,2,15,15,4,0,3,2,2,3,3,4,1,731,6,0,326,1057,2,3,2,1,1057,0,0,1057,1,0,1,0,3,1,2,5,1,0,6,6,1953,3,1,246,3,3,1,0,52,0,0,0,0,5,5,6,0,1,2010,1,2,109000
90,6,65,6040,2,3,1,1,1,1,1,8,3,3,3,1,4,5,1955,1955,2,2,1,11,4,0,3,3,3,6,6,5,7,0,7,0,0,0,2,3,1,4,1152,0,0,1152,0,0,2,0,2,2,4,6,1,0,6,7,0,4,0,0,6,6,3,0,0,0,0,0,0,5,5,6,0,6,2008,1,3,82000
20,6,84,8658,2,3,1,1,1,1,1,13,3,3,1,1,6,5,1965,1965,2,2,16,16,2,101,3,3,2,3,3,4,4,643,6,0,445,1088,2,1,2,1,1324,0,0,1324,0,0,2,0,3,1,3,6,1,1,3,2,1965,2,2,440,3,3,1,0,138,0,0,0,0,5,3,6,0,12,2006,1,2,160000
20,6,115,16905,2,3,1,1,1,1,1,24,3,3,1,1,5,6,1959,1959,2,2,15,15,4,0,3,2,2,3,3,1,3,967,6,0,383,1350,2,2,2,1,1328,0,0,1328,0,1,1,1,2,1,3,5,1,2,2,2,1959,2,1,308,3,3,2,0,104,0,0,0,0,5,5,6,0,7,2007,1,1,170000
85,6,0,9180,2,3,2,1,1,3,1,21,3,3,1,7,5,7,1983,1983,2,2,7,7,4,0,3,3,2,2,3,2,2,747,5,93,0,840,2,2,2,1,884,0,0,884,1,0,1,0,2,1,2,5,1,0,6,2,1983,2,2,504,3,2,1,240,0,0,0,0,0,5,2,6,0,12,2007,1,1,144000
20,6,0,9200,2,3,2,1,1,3,1,6,3,3,1,1,5,6,1975,1980,4,2,15,15,4,0,3,3,2,2,3,2,5,280,3,491,167,938,2,3,2,1,938,0,0,938,1,0,1,0,3,1,3,5,1,0,6,6,1977,3,1,308,3,3,1,145,0,0,0,0,0,5,2,6,0,7,2008,1,1,130250
20,6,70,7945,2,3,1,1,1,1,1,13,3,3,1,1,5,6,1959,1959,2,2,4,16,4,0,3,3,2,3,3,4,2,179,3,506,465,1150,2,1,2,2,1150,0,0,1150,1,0,1,0,3,1,3,6,1,0,6,2,1959,2,1,300,3,3,1,0,0,0,0,0,0,5,5,6,0,5,2006,1,1,141000
120,6,61,7658,2,3,1,1,1,1,1,16,3,3,4,1,9,5,2005,2005,4,2,9,9,2,412,1,3,3,1,3,4,1,456,6,0,1296,1752,2,1,2,1,1752,0,0,1752,1,0,2,0,2,1,1,6,1,1,2,2,2005,2,2,576,3,3,1,196,82,0,0,0,0,5,5,6,0,2,2010,1,1,319900
50,6,48,12822,2,3,2,1,1,3,1,12,3,3,1,2,7,5,2003,2003,2,2,15,15,4,0,2,3,3,1,3,4,1,1351,6,0,83,1434,2,1,2,1,1518,631,0,2149,1,0,1,1,1,1,2,6,1,1,1,2,2003,2,2,670,3,3,1,168,43,0,0,198,0,5,5,6,0,8,2009,1,2,239686
20,3,84,11096,2,3,1,1,1,1,1,22,3,3,1,1,8,5,2006,2006,2,2,15,15,4,0,2,3,3,2,3,2,1,24,6,0,1632,1656,2,1,2,1,1656,0,0,1656,0,0,2,0,3,1,2,7,1,0,6,2,2006,2,3,826,3,3,1,0,146,0,0,0,0,5,5,6,0,7,2007,1,1,249700
190,8,33,4456,2,3,1,1,1,1,1,18,3,3,2,4,4,5,1920,2008,2,2,9,9,4,0,3,3,1,3,3,4,6,0,6,0,736,736,2,2,2,1,736,716,0,1452,0,0,2,0,2,3,3,8,1,0,6,7,0,4,0,0,6,6,3,0,0,102,0,0,0,5,5,6,0,6,2009,4,6,113000
20,6,66,7742,2,3,1,1,1,1,1,20,3,3,1,1,5,7,1966,1966,2,2,7,7,4,0,3,3,2,3,3,4,3,763,6,0,192,955,2,1,2,1,955,0,0,955,1,0,1,0,3,1,3,6,1,0,6,2,1966,3,1,386,3,3,1,0,0,0,0,0,0,5,2,6,0,1,2007,1,1,127000
60,6,0,13869,2,3,3,1,1,2,1,9,3,3,1,4,6,6,1997,1997,2,2,15,15,4,0,3,3,3,2,3,2,1,182,6,0,612,794,2,2,2,1,794,676,0,1470,0,1,2,0,3,1,3,6,1,0,6,2,1997,1,2,388,3,3,1,0,75,0,0,0,0,5,5,6,0,7,2007,1,1,177000
50,8,52,6240,2,3,1,1,1,1,1,4,3,3,1,2,6,6,1934,1950,2,2,16,16,4,0,3,3,3,3,3,4,6,0,6,0,816,816,2,3,2,1,816,0,360,1176,0,0,1,0,3,1,3,6,1,1,2,6,1985,3,2,528,3,3,1,112,0,0,0,0,0,5,2,4,400,9,2006,1,1,114500
90,8,110,8472,1,3,3,2,1,2,2,10,4,3,3,1,5,5,1963,1963,2,2,16,16,4,0,4,3,2,2,3,1,5,104,1,712,0,816,2,3,1,1,816,0,0,816,1,0,1,0,2,1,3,5,1,0,6,5,1963,3,2,516,3,3,1,106,0,0,0,0,0,5,5,6,0,5,2010,1,1,110000
20,6,68,50271,2,3,2,4,1,1,1,25,3,3,1,1,9,5,1981,1987,2,8,17,17,4,0,2,3,2,1,3,1,1,1810,6,0,32,1842,2,2,2,1,1842,0,0,1842,2,0,0,1,0,1,2,5,1,1,2,2,1981,1,3,894,3,3,1,857,72,0,0,0,0,5,5,6,0,11,2006,1,1,385000
80,6,60,7134,2,3,1,2,1,1,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,4,0,3,3,2,3,3,4,2,384,6,0,0,384,2,3,2,1,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,3,6,1962,3,2,572,3,3,1,0,50,0,0,0,0,5,2,6,0,2,2007,1,1,130000
20,6,100,10175,2,3,2,1,1,1,1,13,3,3,1,1,6,5,1964,1964,2,2,7,11,2,272,3,3,2,3,3,4,3,490,6,0,935,1425,2,2,2,1,1425,0,0,1425,0,0,2,0,3,1,3,7,1,1,2,2,1964,2,2,576,3,3,1,0,0,0,407,0,0,5,5,6,0,7,2008,1,1,180500
160,3,24,2645,2,2,1,1,1,1,1,22,3,3,5,4,8,5,1999,2000,2,2,9,9,2,456,2,3,3,2,3,4,1,649,6,0,321,970,2,1,2,1,983,756,0,1739,1,0,2,1,3,1,2,7,1,0,6,2,1999,1,2,480,3,3,1,115,0,0,0,0,0,5,5,6,0,8,2009,1,2,172500
60,6,89,11645,2,3,2,1,1,2,1,6,3,3,1,4,7,5,2004,2004,2,2,15,15,4,0,2,3,3,2,3,4,6,0,6,0,860,860,2,1,2,1,860,860,0,1720,0,0,2,1,3,1,2,7,1,0,6,2,2004,2,2,565,3,3,1,0,70,0,0,0,0,5,5,6,0,8,2006,1,1,196500
60,6,66,13682,2,3,3,3,1,3,1,23,3,3,1,4,10,5,2006,2006,4,2,15,15,2,1031,1,3,3,1,3,1,6,0,6,0,1410,1410,2,1,2,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,1,1,2,4,2006,1,3,641,3,3,1,192,0,37,0,0,0,5,5,6,0,10,2006,4,6,438780
20,6,60,7200,2,3,1,2,1,1,1,6,3,3,1,1,5,7,1972,1972,2,2,7,7,4,0,3,3,2,3,3,2,2,632,6,0,148,780,2,1,2,1,780,0,0,780,0,0,1,0,2,1,3,4,1,0,6,6,1973,3,1,352,3,3,1,196,0,0,0,0,0,5,2,6,0,1,2008,1,1,124900
20,6,63,13072,2,3,1,1,1,1,1,21,9,3,1,1,6,5,2004,2004,2,2,15,15,4,0,3,3,3,2,3,4,2,941,6,0,217,1158,2,1,2,1,1158,0,0,1158,1,0,1,1,3,1,2,5,1,0,6,6,2006,3,2,576,3,3,1,0,50,0,0,0,0,5,5,6,0,5,2006,4,6,158000
75,8,60,7200,2,3,1,1,1,1,1,10,3,3,1,6,5,7,1920,1996,2,2,9,9,4,0,3,3,1,3,4,4,6,0,6,0,530,530,2,3,1,1,581,530,0,1111,0,0,1,0,3,1,4,6,1,0,6,6,1935,3,1,288,3,3,3,0,0,144,0,0,0,5,5,6,0,3,2007,1,1,101000
120,6,44,6442,2,3,2,1,1,1,1,16,3,3,4,1,8,5,2006,2006,2,2,15,15,5,178,2,3,3,2,2,3,1,24,6,0,1346,1370,2,1,2,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,2,2,2006,2,2,484,3,3,1,120,49,0,0,0,0,5,5,6,0,10,2007,1,1,202500
70,8,50,10300,2,3,2,2,1,1,1,18,5,2,1,4,7,6,1921,1950,2,2,14,14,4,0,3,3,1,3,3,4,6,0,6,0,576,576,2,2,2,1,902,808,0,1710,0,0,2,0,3,1,3,9,1,0,6,6,1990,3,2,480,3,3,1,12,11,64,0,0,0,5,1,6,0,4,2010,1,1,140000
60,6,0,9375,2,3,1,1,1,1,1,6,3,3,1,4,7,5,1997,1998,2,2,15,15,2,573,3,3,3,2,3,4,1,739,6,0,318,1057,2,1,2,1,1057,977,0,2034,1,0,2,1,3,1,2,8,1,0,6,2,1998,2,2,645,3,3,1,576,36,0,0,0,0,5,1,6,0,2,2009,1,1,219500
60,6,76,9591,2,3,1,1,1,1,1,16,3,3,1,4,8,5,2004,2005,2,2,15,15,2,344,2,3,3,1,3,2,6,0,6,0,1143,1143,2,1,2,1,1143,1330,0,2473,0,0,2,1,4,1,2,9,1,1,2,4,2004,2,3,852,3,3,1,192,151,0,0,0,0,5,5,6,0,10,2007,1,1,317000
20,6,0,19900,2,3,1,1,1,1,1,13,7,3,1,1,7,5,1970,1989,2,2,11,11,2,287,3,3,2,2,3,1,1,912,6,0,1035,1947,2,3,2,1,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,2,1970,2,2,576,3,3,1,301,0,0,0,0,0,5,5,6,0,7,2010,1,1,180000
20,6,72,10665,2,3,2,1,1,1,1,6,3,3,1,1,7,5,2003,2003,2,2,15,15,2,167,2,3,3,2,3,2,1,1013,6,0,440,1453,2,1,2,1,1479,0,0,1479,1,0,2,0,3,1,2,7,1,0,6,2,2003,2,2,558,3,3,1,144,29,0,0,0,0,5,5,6,0,6,2007,1,1,226000
30,8,47,4608,2,3,1,1,1,2,1,18,1,3,1,1,4,6,1945,1950,2,2,9,9,4,0,3,2,2,3,3,4,6,0,6,0,747,747,2,3,2,1,747,0,0,747,0,0,1,0,2,1,3,4,1,0,6,2,1945,3,1,220,3,3,1,0,0,0,0,0,0,5,5,6,0,6,2010,1,1,80000
50,6,81,15593,2,3,1,1,1,2,1,5,3,3,1,2,7,4,1953,1953,2,2,4,1,4,0,2,3,2,3,3,4,3,603,6,0,701,1304,3,3,2,1,1304,983,0,2287,0,0,2,0,3,1,3,7,1,1,3,2,1953,1,2,667,3,3,1,0,21,114,0,0,0,5,5,6,0,7,2006,1,1,225000
20,6,95,13651,2,3,2,1,1,1,1,13,3,3,1,1,7,6,1973,1973,2,2,11,11,2,1115,3,2,2,2,3,1,2,1880,6,0,343,2223,2,1,2,1,2223,0,0,2223,1,0,2,0,3,1,3,8,1,2,2,2,1973,1,2,516,3,3,1,300,0,0,0,0,0,5,5,6,0,2,2007,1,1,244000
20,6,69,7599,2,3,1,1,1,2,1,12,3,3,1,1,4,6,1982,2006,2,2,7,11,4,0,3,3,2,3,3,4,2,565,6,0,280,845,2,3,2,1,845,0,0,845,1,0,1,0,2,1,3,4,1,0,6,6,1987,3,2,360,3,3,1,0,0,0,0,0,0,5,5,6,0,6,2007,1,1,129500
60,6,74,10141,2,3,2,1,1,2,1,9,3,3,1,4,7,5,1998,1998,2,2,15,15,2,40,3,3,3,2,3,4,6,0,6,0,832,832,2,2,2,1,885,833,0,1718,0,0,2,1,3,1,3,7,1,1,3,2,1998,1,2,427,3,3,1,0,94,0,0,291,0,5,5,6,0,12,2009,1,1,185000
20,6,85,10200,2,3,1,1,1,1,1,13,3,3,1,1,5,7,1954,2003,2,2,16,16,2,104,3,3,2,3,3,4,2,320,3,362,404,1086,2,2,2,1,1086,0,0,1086,1,0,1,0,3,1,3,6,1,0,6,2,1989,3,2,490,3,3,1,0,0,0,0,0,0,5,3,6,0,5,2010,1,1,144900
50,8,60,5790,2,3,1,1,1,2,1,18,3,3,1,4,3,6,1915,1950,3,2,15,15,4,0,2,2,2,4,3,4,6,0,6,0,840,840,2,2,1,1,840,765,0,1605,0,0,2,0,3,2,3,8,1,0,6,6,1915,3,1,379,3,3,1,0,0,202,0,0,0,5,5,6,0,5,2010,1,1,107400
180,8,21,1596,2,3,1,1,1,1,1,11,3,3,5,8,4,5,1973,1973,2,2,6,6,4,0,3,3,2,2,3,1,1,462,6,0,0,462,2,3,2,1,526,462,0,988,1,0,1,0,2,1,3,5,1,0,6,4,1973,3,1,297,3,3,1,120,101,0,0,0,0,5,3,6,0,11,2009,1,1,91000
